"url","slug","cause_classification","final_state","notes","human_decision_required","decision"
"/blog/regulacion-sanitaria/registro-medicamentos-productos-farmaceuticos-honduras","registro-medicamentos-productos-farmaceuticos-honduras","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","Déficit: body_links=1, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/hondurenos-en-espana/arraigo-social-laboral-hondurenos-espana","arraigo-social-laboral-hondurenos-espana","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-aduanero/zonas-libres-zoli-beneficios-fiscales-honduras","zonas-libres-zoli-beneficios-fiscales-honduras","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","Déficit: body_links=4, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/regulacion-sanitaria/habilitacion-clinicas-hospitales","habilitacion-clinicas-hospitales","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","Déficit: body_links=4, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/extranjeria-migracion/naturalizacion-nacionalidad-hondurena","naturalizacion-nacionalidad-hondurena","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-ambiental/licencia-ambiental-categorias-plazos-honduras","licencia-ambiental-categorias-plazos-honduras","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","Déficit: body_links=1, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-bancario/creditos-reestructuracion-deudas","creditos-reestructuracion-deudas","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-administrativo/contratacion-publica-licitaciones","contratacion-publica-licitaciones","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","Déficit: body_links=1, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derechos-ciudadanos/proteccion-datos-personales-derechos-arco-honduras","proteccion-datos-personales-derechos-arco-honduras","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-bancario/ejecucion-hipotecaria-honduras-que-hacer","ejecucion-hipotecaria-honduras-que-hacer","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/tributario/impuestos-pequenas-empresas-guia-basica-honduras","impuestos-pequenas-empresas-guia-basica-honduras","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-mercantil/incumplimiento-contrato-comercial-honduras","incumplimiento-contrato-comercial-honduras","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-civil/testamentos-sucesiones-herencia-honduras","testamentos-sucesiones-herencia-honduras","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/extranjeria-migracion/refugio-asilo-solicitarlo","refugio-asilo-solicitarlo","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-notarial/poder-notarial-honduras-tipos-requisitos","poder-notarial-honduras-tipos-requisitos","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-civil/reclamar-deuda-legalmente-honduras","reclamar-deuda-legalmente-honduras","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","Déficit: body_links=1, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/tributario/isv-impuesto-venta-tasas-obligaciones-honduras","isv-impuesto-venta-tasas-obligaciones-honduras","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-ambiental/evaluacion-impacto-ambiental-honduras","evaluacion-impacto-ambiental-honduras","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-civil/clausulas-abusivas-contratos-como-detectar-honduras","clausulas-abusivas-contratos-como-detectar-honduras","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-civil/contratos-arrendamiento-derechos-obligaciones-honduras","contratos-arrendamiento-derechos-obligaciones-honduras","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","Déficit: body_links=1, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/tributario/facturacion-electronica-requisitos-sar","facturacion-electronica-requisitos-sar","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/hondurenos-en-espana/reagrupacion-familiar-hondurenos-espana","reagrupacion-familiar-hondurenos-espana","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-ambiental/delitos-ambientales-como-denunciarlos-honduras","delitos-ambientales-como-denunciarlos-honduras","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-bancario/central-riesgos-honduras-consultar-impugnar","central-riesgos-honduras-consultar-impugnar","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","Déficit: body_links=3, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-de-familia/custodia-hijos-honduras-juez","custodia-hijos-honduras-juez","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","Déficit: body_links=1, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
"/blog/derecho-laboral/jornada-laboral-horas-extra-descansos-honduras","jornada-laboral-horas-extra-descansos-honduras","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","Déficit: body_links=4, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado).","yes","PENDING_HUMAN_REVIEW"
