"url","slug","category","review_status","published","noindex","indexable","effective_body_links","official_sources","service_link_rendered","cause_classification","final_state","primary_service","related_recommended","related_verified","official_sources_status","notes"
"/blog/tributario/devolucion-impuestos-como-solicitarla-honduras","devolucion-impuestos-como-solicitarla-honduras","tributario","published_firm_reviewed","true","false","true","2","1","true","NO_CHANGE_REQUIRED","RESOLVED_IN_CODE","/servicios-juridicos/tributario-fiscal","defensa-sar-choluteca","defensa-sar-choluteca","ok","Déficit de enlazado ya cubierto (render + body)."
"/blog/regulacion-sanitaria/registro-medicamentos-productos-farmaceuticos-honduras","registro-medicamentos-productos-farmaceuticos-honduras","regulacion-sanitaria","published_firm_reviewed","true","false","true","1","0","true","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","/servicios-juridicos/regulacion-sanitaria","registro-sanitario-alimentos-arsa-paso-a-paso-honduras | responsabilidad-medica-mala-praxis-honduras","registro-sanitario-alimentos-arsa-paso-a-paso-honduras | responsabilidad-medica-mala-praxis-honduras","ausentes","Déficit: body_links=1, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/hondurenos-en-espana/arraigo-social-laboral-hondurenos-espana","arraigo-social-laboral-hondurenos-espana","hondurenos-en-espana","published_firm_reviewed","true","false","true","2","0","true","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","/hondurenos-en-espana","asuntos-familiares-honduras-espana","asuntos-familiares-honduras-espana","ausentes","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/derecho-aduanero/zonas-libres-zoli-beneficios-fiscales-honduras","zonas-libres-zoli-beneficios-fiscales-honduras","derecho-aduanero","published_firm_reviewed","true","false","true","4","0","true","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","/servicios-juridicos/derecho-aduanero-y-comercio-exterior","codigo-aduanero-centroamericano | importaciones-san-lorenzo","codigo-aduanero-centroamericano | importaciones-san-lorenzo","ausentes","Déficit: body_links=4, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/regulacion-sanitaria/habilitacion-clinicas-hospitales","habilitacion-clinicas-hospitales","regulacion-sanitaria","published_firm_reviewed","true","false","true","4","0","true","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","/servicios-juridicos/regulacion-sanitaria","registro-sanitario-alimentos-arsa-paso-a-paso-honduras | responsabilidad-medica-mala-praxis-honduras","registro-sanitario-alimentos-arsa-paso-a-paso-honduras | responsabilidad-medica-mala-praxis-honduras","ausentes","Déficit: body_links=4, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/extranjeria-migracion/naturalizacion-nacionalidad-hondurena","naturalizacion-nacionalidad-hondurena","extranjeria-migracion","published_firm_reviewed","true","false","true","0","0","true","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","/servicios-juridicos/extranjeria-en-honduras","residencia-temporal-requisitos-plazos-honduras","residencia-temporal-requisitos-plazos-honduras","ausentes","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/derecho-ambiental/licencia-ambiental-categorias-plazos-honduras","licencia-ambiental-categorias-plazos-honduras","derecho-ambiental","published_firm_reviewed","true","false","true","1","0","true","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","/servicios-juridicos/ambiental-regulatorio","derecho-ambiental-honduras","derecho-ambiental-honduras","ausentes","Déficit: body_links=1, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/derecho-bancario/creditos-reestructuracion-deudas","creditos-reestructuracion-deudas","derecho-bancario","published_firm_reviewed","true","false","true","0","0","true","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","/servicios-juridicos/derecho-bancario-y-financiero","tarjetas-credito-intereses-cargos-defensa-honduras | derechos-consumidor-financiero-honduras-cnbs","tarjetas-credito-intereses-cargos-defensa-honduras | derechos-consumidor-financiero-honduras-cnbs","ausentes","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/derecho-administrativo/contratacion-publica-licitaciones","contratacion-publica-licitaciones","derecho-administrativo","published_firm_reviewed","true","false","true","1","0","true","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","/servicios-juridicos/derecho-administrativo-y-servicio-civil","expropiacion-forzosa-derechos-propietario-honduras | recurso-de-amparo-honduras-guia-completa","expropiacion-forzosa-derechos-propietario-honduras | recurso-de-amparo-honduras-guia-completa","ausentes","Déficit: body_links=1, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/derechos-ciudadanos/proteccion-datos-personales-derechos-arco-honduras","proteccion-datos-personales-derechos-arco-honduras","derechos-ciudadanos","published_firm_reviewed","true","false","true","0","0","true","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","/servicios-juridicos","derecho-de-peticion-instituciones-honduras","derecho-de-peticion-instituciones-honduras","ausentes","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/derecho-bancario/ejecucion-hipotecaria-honduras-que-hacer","ejecucion-hipotecaria-honduras-que-hacer","derecho-bancario","published_firm_reviewed","true","false","true","0","0","true","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","/servicios-juridicos/derecho-bancario-y-financiero","tarjetas-credito-intereses-cargos-defensa-honduras | derechos-consumidor-financiero-honduras-cnbs","tarjetas-credito-intereses-cargos-defensa-honduras | derechos-consumidor-financiero-honduras-cnbs","ausentes","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/tributario/impuestos-pequenas-empresas-guia-basica-honduras","impuestos-pequenas-empresas-guia-basica-honduras","tributario","published_firm_reviewed","true","false","true","2","0","true","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","/servicios-juridicos/tributario-fiscal","defensa-sar-choluteca","defensa-sar-choluteca","ausentes","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/derecho-mercantil/incumplimiento-contrato-comercial-honduras","incumplimiento-contrato-comercial-honduras","derecho-mercantil","published_firm_reviewed","true","false","true","0","0","true","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","/servicios-juridicos/derecho-mercantil-empresarial","titulos-valores-cheques-sin-fondo-honduras | contratos-franquicia-aspectos","titulos-valores-cheques-sin-fondo-honduras | contratos-franquicia-aspectos","ausentes","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/derecho-civil/testamentos-sucesiones-herencia-honduras","testamentos-sucesiones-herencia-honduras","derecho-civil","published_firm_reviewed","true","false","true","0","0","true","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","/servicios-juridicos/derecho-civil-y-notarial","abogado-civil-choluteca | cobro-deudas-choluteca","abogado-civil-choluteca | cobro-deudas-choluteca","ausentes","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/extranjeria-migracion/refugio-asilo-solicitarlo","refugio-asilo-solicitarlo","extranjeria-migracion","published_firm_reviewed","true","false","true","2","0","true","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","/servicios-juridicos/extranjeria-en-honduras","residencia-temporal-requisitos-plazos-honduras","residencia-temporal-requisitos-plazos-honduras","ausentes","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/derecho-notarial/poder-notarial-honduras-tipos-requisitos","poder-notarial-honduras-tipos-requisitos","derecho-notarial","published_firm_reviewed","true","false","true","0","0","true","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","/servicios-juridicos/derecho-civil-y-notarial","poder-legal-honduras-cuando-se-necesita","poder-legal-honduras-cuando-se-necesita","ausentes","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/derecho-civil/reclamar-deuda-legalmente-honduras","reclamar-deuda-legalmente-honduras","derecho-civil","published_firm_reviewed","true","false","true","1","0","true","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","/servicios-juridicos/derecho-civil-y-notarial","abogado-civil-choluteca | cobro-deudas-choluteca","abogado-civil-choluteca | cobro-deudas-choluteca","ausentes","Déficit: body_links=1, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/tributario/isv-impuesto-venta-tasas-obligaciones-honduras","isv-impuesto-venta-tasas-obligaciones-honduras","tributario","published_firm_reviewed","true","false","true","2","0","true","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","/servicios-juridicos/tributario-fiscal","defensa-sar-choluteca","defensa-sar-choluteca","ausentes","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/derecho-ambiental/evaluacion-impacto-ambiental-honduras","evaluacion-impacto-ambiental-honduras","derecho-ambiental","published_firm_reviewed","true","false","true","2","0","true","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","/servicios-juridicos/ambiental-regulatorio","derecho-ambiental-honduras","derecho-ambiental-honduras","ausentes","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/derecho-civil/clausulas-abusivas-contratos-como-detectar-honduras","clausulas-abusivas-contratos-como-detectar-honduras","derecho-civil","published_firm_reviewed","true","false","true","0","0","true","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","/servicios-juridicos/derecho-civil-y-notarial","abogado-civil-choluteca | cobro-deudas-choluteca","abogado-civil-choluteca | cobro-deudas-choluteca","ausentes","Déficit: body_links=0, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/derecho-civil/contratos-arrendamiento-derechos-obligaciones-honduras","contratos-arrendamiento-derechos-obligaciones-honduras","derecho-civil","published_firm_reviewed","true","false","true","1","0","true","AUTO_FIX_DATABASE","REQUIRES_HUMAN_DECISION","/servicios-juridicos/derecho-civil-y-notarial","abogado-civil-choluteca | cobro-deudas-choluteca","abogado-civil-choluteca | cobro-deudas-choluteca","ausentes","Déficit: body_links=1, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/tributario/facturacion-electronica-requisitos-sar","facturacion-electronica-requisitos-sar","tributario","published_firm_reviewed","true","false","true","2","0","true","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","/servicios-juridicos/tributario-fiscal","defensa-sar-choluteca","defensa-sar-choluteca","ausentes","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/hondurenos-en-espana/reagrupacion-familiar-hondurenos-espana","reagrupacion-familiar-hondurenos-espana","hondurenos-en-espana","published_firm_reviewed","true","false","true","2","0","true","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","/hondurenos-en-espana","asuntos-familiares-honduras-espana","asuntos-familiares-honduras-espana","ausentes","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
"/blog/derecho-ambiental/delitos-ambientales-como-denunciarlos-honduras","delitos-ambientales-como-denunciarlos-honduras","derecho-ambiental","published_firm_reviewed","true","false","true","2","0","true","MANUAL_LEGAL_REVIEW","REQUIRES_HUMAN_DECISION","/servicios-juridicos/ambiental-regulatorio","derecho-ambiental-honduras","derecho-ambiental-honduras","ausentes","Déficit: body_links=2, fuentes_oficiales=0. El enlace en body y las fuentes oficiales son decisiones de contenido jurídico (YMYL). Patch técnico propuesto en internal-links-patch.json (no ejecutado)."
