id,topic,duplication_type,routes_or_components,impact,finding,canonical_owner,recommendation,governance_tag
DUP-001,Consulta/evaluación inicial,exact+conceptual,"TrustBar, ConsultationCTA, local CTA, home hero, services/FAQ published cache, consultation guarantees",CRITICAL,Canonical phrase conflicts with live/coded “sin costo/sin compromiso”.,/solicitar-consulta,Use “Evaluación inicial confidencial”; remove price promise unless owner confirms.,REQUIRES_LEGAL_REVIEW|REQUIRES_CONTENT_DB_CHANGE
DUP-002,Presupuesto por escrito,exact,"TrustBar, home hero panel/final CTA, despacho commitments/process/contracting, service/Spain copy, local CTA",HIGH,Legitimate trust signal but repeated 2–4 times per journey.,/solicitar-consulta,One short trust mention near first CTA and one in consultation page.,WAIT_UNTIL_2026-09-01
DUP-003,Abogado responsable/atención directa,conceptual,"TrustBar, home team, despacho team/assignment, consultation rail, service lawyer blocks",HIGH,"Same reassurance expressed as claim, process and team card.",/despacho,Canonical explanation in Despacho; compact proof elsewhere.,WAIT_UNTIL_2026-09-01
DUP-004,Más de 15 años,exact,"TrustBar, home/footer, despacho hero/metadata, penal lawyer block, profile/supporting copy",MEDIUM,Authority claim is useful but becomes decorative wallpaper.,/despacho,One institutional proof and one contextual penal mention.,WAIT_UNTIL_2026-09-01
DUP-005,Defensa penal como pilar,exact+conceptual,"home hero/panel, services, despacho, footer, penal hub",MEDIUM,Valid positioning repeated across unrelated pages.,/derecho-penal,Full statement on penal; short priority marker on home/services.,WAIT_UNTIL_2026-09-01
DUP-006,Cobertura Nacaome/zona sur,conceptual,"hero, TrustBar copy, footer, services RelatedCities, penal chips, local pages, consultation location",HIGH,"Territorial proof repeated as paragraphs, chips and cards.",/como-llegar + local hubs,Keep short NAP globally; full coverage only in local architecture.,WAIT_UNTIL_2026-09-01
DUP-007,Confidencialidad/secreto profesional,conceptual,"TrustBar, ConsultationCTA, consult form/guarantees, despacho commitments, service disclaimers",MEDIUM,Necessary but verbose and repeated.,/solicitar-consulta,One microcopy by form and one global trust label.,WAIT_UNTIL_2026-09-01
DUP-008,Metodología/trazabilidad,conceptual,"home why/process, despacho mission/commitments/process/TrustLimits, service process blocks",HIGH,General method and legal stages are mixed.,/despacho,Separate general method from service-specific stages.,WAIT_UNTIL_2026-09-01
DUP-009,Equipo coordinado/multidisciplinar,conceptual,"home hero/team, services answer/FAQ, despacho, consult rail",MEDIUM,Same operational promise shown as multiple components.,/despacho,"One canonical team explanation, then contextual lawyer reference.",WAIT_UNTIL_2026-09-01
DUP-010,No prometemos resultados,conceptual,"home reasons, despacho values/TrustLimits, legal disclaimers",MEDIUM,Legitimate ethical limit; excessive when repeated close together.,/despacho,One institutional statement + legal disclaimer.,REQUIRES_LEGAL_REVIEW
DUP-011,Qué servicio necesita,conceptual,"home ProblemSelector, services Search/Catalog, FAQ links, local service cards",HIGH,Multiple navigators before decision.,/servicios-juridicos,Home problem selector; services search+catalog only.,WAIT_UNTIL_2026-09-01
DUP-012,Equipo completo,conceptual,"home cards, despacho cards, penal profile, service lawyer, consultation team",HIGH,Six visual representations create inconsistency.,/despacho,Canonical compact/full/profile/reference system.,WAIT_UNTIL_2026-09-01
DUP-013,Cómo trabajamos,conceptual,"home 4-step live/5-field code, despacho 5, penal ProcessList + 5 stages, service ProcessList",CRITICAL,Different counts and taxonomies compete.,/despacho,General 4–5 step method only in Despacho; legal stages remain area-specific.,WAIT_UNTIL_2026-09-01
DUP-014,Preguntas preconsulta,conceptual,"FAQ general DB, despacho FAQ, consult FAQ, service FAQs",HIGH,Honorarios/documentos/confidencialidad can repeat.,/preguntas-frecuentes,Global corporate FAQs only; service pages keep substantive legal questions.,WAIT_UNTIL_2026-09-01
DUP-015,Guías relacionadas,functional,"Home, services, penal, Spain, FAQ, local and service detail blog blocks",MEDIUM,"Allowed use, but custom and canonical blog-card implementations coexist.",contextual,One BlogHighlights pattern; maximum 3–4 items on non-blog pages.,SAFE_BEFORE_MEASUREMENT
DUP-016,CTA final,functional,"Most hubs, profiles, services, locals, plus ContactStrip/ContextualCta",CRITICAL,Some pages show 3–5 conversion systems.,/solicitar-consulta,One final CTA; contextual CTA only when materially different.,WAIT_UNTIL_2026-09-01
DUP-017,Ubicación completa,conceptual,"footer, consultation visit cards, local Nacaome, como-llegar",MEDIUM,Address and directions repeated beyond NAP minimum.,/como-llegar,Short address + link elsewhere.,WAIT_UNTIL_2026-09-01
DUP-018,Avisos y límites,conceptual,"Spain notice + 3 scope cards, sources disclaimers, LegalDisclaimer, TrustLimits",HIGH,Risk information fragmented into multiple visual treatments.,route-specific,Canonical notice component by semantic type.,REQUIRES_LEGAL_REVIEW
