object_type,key,observed_status,classification,reason,required_by_head,data_loss_risk,production_required,remaining_action
columns,public.blog_posts.ai_official_sources_count,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.blog_posts.ai_research_provider,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.blog_posts.ai_review_claims_count,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.blog_posts.ai_review_confidence,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.blog_posts.ai_review_confirmed_claims,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.blog_posts.ai_review_corrected_claims,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.blog_posts.ai_review_model,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.blog_posts.ai_review_provider,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.blog_posts.ai_review_requires_human,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.blog_posts.ai_review_sources,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
