id,type,item,historical_state,historical_risk,current_status,decision,current_evidence,implementation_commit,remaining_action
DEP-0001,source,app/cargar/[token]/portal-carga-client.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0002,source,app/types.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0003,source,components/blog/lazy-blog-search.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",914e312c,
DEP-0004,source,components/blog/legal-article-cta.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0005,source,components/blog/local-consult-form.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0006,source,components/domain/articulo-autocomplete.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0007,source,components/domain/calculadora/calculadora-header.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0008,source,components/layout/app-shell.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0009,source,components/layout/user-actions.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0010,source,components/marketing/google-reviews.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",914e312c,
DEP-0011,source,components/marketing/intro-editorial.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0012,source,components/marketing/map-embed-lazy.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0013,source,components/marketing/service-blocks.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0014,source,components/marketing/social-share.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0015,source,components/marketing/testimonial-card.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0016,source,components/sgie/copilot-expediente.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",914e312c,
DEP-0017,source,components/sgie/sgie-placeholder.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",914e312c,
DEP-0018,source,components/ui/stepper.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0019,source,components/ui/table-pagination.tsx,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",914e312c,
DEP-0020,source,lib/ai/deepseek-blog-review.ts,script-only-candidate,Bajo,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0021,source,lib/ai/review-invariants.ts,script-only-candidate,Bajo,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0022,source,lib/ai/review-status.ts,script-only-candidate,Bajo,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0023,source,lib/ai/source-provenance.ts,script-only-candidate,Bajo,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0024,source,lib/api-fetch.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",914e312c,
DEP-0025,source,lib/blog-helpers.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",914e312c,
DEP-0026,source,lib/cache-dashboard.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",914e312c,
DEP-0027,source,lib/calculo-validator.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0028,source,lib/calendar/provider.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",914e312c,
DEP-0029,source,lib/calendar/sandbox-provider.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",914e312c,
DEP-0030,source,lib/chat/knowledge-base.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0031,source,lib/email-allowlist.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0032,source,lib/email-staging-wrapper.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0033,source,lib/faq-unified.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0034,source,lib/file-validation.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0035,source,lib/google-reviews.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0036,source,lib/google.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0037,source,lib/permissions.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0038,source,lib/places.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0039,source,lib/rag/chunking.ts,script-only-candidate,Bajo,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0040,source,lib/rag/retrieval.ts,script-only-candidate,Bajo,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0041,source,lib/sgie/ai-evaluation-service.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0042,source,lib/sgie/auto-vinculacion.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0043,source,lib/sgie/baselines-service.ts,unreachable-candidate,Medio,DONE_VERIFIED,KEEP_TEST_CONTRACT,Existe como contrato de arquitectura cubierto explícitamente por tests; permanece en baseline Knip.,,
DEP-0044,source,lib/sgie/brief-jobs.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0045,source,lib/sgie/calendar-sync.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",914e312c,
DEP-0046,source,lib/sgie/clasificacion-documental.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0047,source,lib/sgie/client-portal-service.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0048,source,lib/sgie/document-automation-orchestrator.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
