"source_id","article_slug","claim_id","claim","institution","document_title","document_number","exact_url","article_or_section","quoted_concept","interpretation","verification_status","verified_at","human_review_question"
"HN-CPP-9-99-E","que-hacer-si-me-detienen-en-honduras","que-hacer-si-me-detienen-en-honduras-C1","La persona imputada debe ser informada de sus derechos y puede contar con defensa desde las primeras actuaciones.","Congreso Nacional / TSC","Código Procesal Penal","Decreto 9-99-E","https://tsc.gob.hn/web/leyes/Codigo_Procesal_Penal_2016.pdf","artículos 101, 282 y 285–287","La persona imputada debe ser informada de sus derechos y puede contar con defensa desde las primeras actuaciones.","Propuesta conservadora pendiente de firma jurídica","VERIFIED","2026-07-28","¿La explicación sobre información de derechos, comunicación y declaración refleja la práctica vigente desde la aprehensión?"
"HN-CP-130-2017","cuando-prescribe-delito-en-honduras","cuando-prescribe-delito-en-honduras-C1","El Código Penal diferencia la prescripción de la acción penal y de la pena y regula su cómputo e interrupción.","Congreso Nacional / TSC","Código Penal","Decreto 130-2017","https://www.tsc.gob.hn/web/leyes/Decreto_130-2017.pdf","artículos 104–110","El Código Penal diferencia la prescripción de la acción penal y de la pena y regula su cómputo e interrupción.","Propuesta conservadora pendiente de firma jurídica","VERIFIED","2026-07-28","¿Confirma que el punto inicial y los efectos interruptivos descritos corresponden a la versión vigente de los artículos 104 a 110?"
"HN-CPP-9-99-E","fianza-medidas-cautelares-proceso-penal-honduras","fianza-medidas-cautelares-proceso-penal-honduras-C1","La imposición de medidas cautelares exige presupuestos procesales y una valoración judicial de necesidad y riesgos.","Congreso Nacional / TSC","Código Procesal Penal","Decreto 9-99-E","https://tsc.gob.hn/web/leyes/Codigo_Procesal_Penal_2016.pdf","artículos 172–188","La imposición de medidas cautelares exige presupuestos procesales y una valoración judicial de necesidad y riesgos.","Propuesta conservadora pendiente de firma jurídica","VERIFIED","2026-07-28","¿Debe precisarse qué documentos suelen acreditar arraigo y cuándo resulta viable solicitar sustitución o revisión de la medida?"
"HN-CPP-9-99-E","audiencia-inicial-proceso-penal-honduras","audiencia-inicial-proceso-penal-honduras-C1","La audiencia inicial permite debatir la base de la imputación y conduce a una resolución judicial sobre la continuación del proceso.","Congreso Nacional / TSC","Código Procesal Penal","Decreto 9-99-E","https://tsc.gob.hn/web/leyes/Codigo_Procesal_Penal_2016.pdf","artículos 294–297","La audiencia inicial permite debatir la base de la imputación y conduce a una resolución judicial sobre la continuación del proceso.","Propuesta conservadora pendiente de firma jurídica","VERIFIED","2026-07-28","¿Las decisiones posibles y el momento para proponer o controvertir prueba están descritos conforme al trámite vigente?"
"HN-CP-130-2017","estafas-fraudes-tipos-penales-honduras","estafas-fraudes-tipos-penales-honduras-C1","El tipo penal de estafa exige comprobar los elementos de engaño y perjuicio patrimonial previstos por la norma aplicable.","Congreso Nacional / TSC","Código Penal","Decreto 130-2017","https://www.tsc.gob.hn/web/leyes/Decreto_130-2017.pdf","artículos 365–368","El tipo penal de estafa exige comprobar los elementos de engaño y perjuicio patrimonial previstos por la norma aplicable.","Propuesta conservadora pendiente de firma jurídica","VERIFIED","2026-07-28","¿La distinción entre engaño penalmente relevante e incumplimiento civil incorpora correctamente el elemento subjetivo vigente?"
"HN-CPP-9-99-E","allanamiento-ilegal-violacion-domicilio-honduras","allanamiento-ilegal-violacion-domicilio-honduras-C1","El registro domiciliario está sujeto a autorización, formalidades y excepciones reguladas por la Constitución y el proceso penal.","Congreso Nacional / TSC","Código Procesal Penal","Decreto 9-99-E","https://tsc.gob.hn/web/leyes/Codigo_Procesal_Penal_2016.pdf","artículos 212–220","El registro domiciliario está sujeto a autorización, formalidades y excepciones reguladas por la Constitución y el proceso penal.","Propuesta conservadora pendiente de firma jurídica","VERIFIED","2026-07-28","¿Las excepciones a la orden y los requisitos del acta están delimitados con suficiente precisión para evitar una regla absoluta?"
"HN-CPP-9-99-E","derechos-detenido-honduras-guia-constitucional","derechos-detenido-honduras-guia-constitucional-C1","El proceso penal reconoce información, defensa y garantías desde la condición de imputado y durante la detención.","Congreso Nacional / TSC","Código Procesal Penal","Decreto 9-99-E","https://tsc.gob.hn/web/leyes/Codigo_Procesal_Penal_2016.pdf","artículo 101 y artículos 282–287","El proceso penal reconoce información, defensa y garantías desde la condición de imputado y durante la detención.","Propuesta conservadora pendiente de firma jurídica","VERIFIED","2026-07-28","¿Debe matizarse algún derecho de comunicación o plazo de puesta a disposición según la forma concreta de aprehensión?"
"HN-CPP-9-99-E","diferencia-denuncia-querella-acusacion-honduras","diferencia-denuncia-querella-acusacion-honduras-C1","El Código Procesal Penal regula de forma distinta la noticia del delito, la intervención del acusador privado y la acusación.","Congreso Nacional / TSC","Código Procesal Penal","Decreto 9-99-E","https://tsc.gob.hn/web/leyes/Codigo_Procesal_Penal_2016.pdf","artículos 267–276 y 293–301","El Código Procesal Penal regula de forma distinta la noticia del delito, la intervención del acusador privado y la acusación.","Propuesta conservadora pendiente de firma jurídica","VERIFIED","2026-07-28","¿La explicación de legitimación y efectos distingue correctamente delitos de acción pública y de acción privada?"
"HN-CT-189-59","despido-laboral-honduras-guia-completa","despido-laboral-honduras-guia-completa-C1","La solución jurídica de despido injustificado honduras depende de causa del despido, preaviso, cesantía y prueba documental y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código del Trabajo","Decreto 189-59","https://www.tsc.gob.hn/web/leyes/codigo_de_trabajo.pdf","disposición específica pendiente de validación humana en el Código del Trabajo","La solución jurídica de despido injustificado honduras depende de causa del despido, preaviso, cesantía y prueba documental y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula causa del despido, preaviso, cesantía y prueba documental en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CT-189-59","despido-injustificado-honduras-derechos-trabajador","despido-injustificado-honduras-derechos-trabajador-C1","La solución jurídica de derechos por despido injustificado honduras depende de opciones del trabajador, reintegro, indemnización y salarios y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código del Trabajo","Decreto 189-59","https://www.tsc.gob.hn/web/leyes/codigo_de_trabajo.pdf","disposición específica pendiente de validación humana en el Código del Trabajo","La solución jurídica de derechos por despido injustificado honduras depende de opciones del trabajador, reintegro, indemnización y salarios y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula opciones del trabajador, reintegro, indemnización y salarios en el supuesto descrito y qué excepción práctica debe incorporarse?"
