"source","table_or_file","field","public_route","content_type","editable_from_admin","validation_status"
"file","data/landings-locales.ts","*","/abogados-en-*","landing","false","static"
"file","data/faq.ts","*","/preguntas-frecuentes","faq","false","static"
"file","data/faqs-hubs.ts","*","/preguntas-frecuentes","faq","false","static"
"file","data/pilar/faqs-guia.ts","*","/guia-legal-abogados-honduras","faq","false","static"
"file","data/areas-juridicas.ts","*","/servicios-juridicos","copy","false","static"
"file","data/blog/categories.ts","*","/blog","copy","false","static"
"file","data/faq-categories.ts","*","/preguntas-frecuentes","faq","false","static"
"file","lib/site.ts","*","global","site_config","false","static"
"file","lib/public-claims.ts","*","global","site_config","false","static"
"file","lib/blog-generated-cta.ts","*","/blog/*","cta","false","static"
"file","lib/lead-magnet-pdf.tsx","*","/solicitar-consulta","cta","false","static"
"file","lib/page-content-db.ts","*","admin-page-content","copy","true","defaults"
"file","lib/faq-db.ts","*","/preguntas-frecuentes","faq","false","fallback"
"file","components/marketing/consultation-cta.tsx","*","global","cta","false","static"
"file","components/marketing/cta-spain.tsx","*","global","cta","false","static"
"file","components/marketing/lead-magnet-cta.tsx","*","/solicitar-consulta","cta","false","static"
"file","components/marketing/public-footer.tsx","*","global","cta","false","static"
"file","components/marketing/solicitar-consulta-form.tsx","*","/solicitar-consulta","cta","false","static"
"file","components/marketing/hub-faq.tsx","*","/preguntas-frecuentes","faq","false","static"
"file","components/blog/newsletter-section.tsx","*","/blog/*","cta","false","static"
"file","app/(public)/page.tsx","*","/","copy","true","static"
"file","app/(public)/despacho/page.tsx","*","/despacho","copy","true","static"
"file","app/(public)/preguntas-frecuentes/page.tsx","*","/preguntas-frecuentes","faq","false","static"
"file","app/(public)/solicitar-consulta/page.tsx","*","/solicitar-consulta","cta","false","static"
"file","app/(public)/guia-legal-abogados-honduras/page.tsx","*","/guia-legal-abogados-honduras","copy","false","static"
"file","app/(public)/blog/page.tsx","*","/blog","copy","false","static"
"seed","drizzle/seed.ts","*","admin","copy","false","seed"
"seed","drizzle/seed-fase2.ts","*","admin","copy","false","seed"
"fixture","data/seo/preview-blog-fixtures.json","*","/blog/*","blog","false","fixture"
"database","blog_posts","title","/blog/[categoria]/[slug]","blog","true","database"
"database","blog_posts","description","/blog/[categoria]/[slug]","blog","true","database"
"database","blog_posts","body","/blog/[categoria]/[slug]","blog","true","database"
"database","blog_posts","meta_title","/blog/[categoria]/[slug]","blog","true","database"
"database","blog_posts","meta_description","/blog/[categoria]/[slug]","blog","true","database"
"database","faq_entries","question","/preguntas-frecuentes","faq","true","database"
"database","faq_entries","answer","/preguntas-frecuentes","faq","true","database"
"database","page_content","content","/admin-pages","copy","true","database"
"database","configuracion_sitio","valor","global","site_config","true","database"
