"question","current_url","category","target_url","duplicate_of","legal_risk","review_status","action"
"¿Cuánto cuesta una defensa penal?","/preguntas-frecuentes","derecho-penal-general","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Puedo cambiar de abogado durante el proceso penal?","/preguntas-frecuentes","derecho-penal-general","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué delitos cubre el Código Penal hondureño?","/preguntas-frecuentes","derecho-penal-general","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cuál es la diferencia entre dolo y culpa?","/preguntas-frecuentes","derecho-penal-general","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué son las circunstancias agravantes y atenuantes?","/preguntas-frecuentes","derecho-penal-general","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Puede una persona con antecedentes penales obtener un empleo público?","/preguntas-frecuentes","derecho-penal-general","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué hago si soy víctima de un delito?","/preguntas-frecuentes","derecho-penal-general","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cuándo prescribe un delito en Honduras?","/preguntas-frecuentes","derecho-penal-general","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Atienden casos urgentes fuera del horario?","/preguntas-frecuentes","asistencia-detenidos","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué derechos tengo si soy detenido en Honduras?","/preguntas-frecuentes","asistencia-detenidos","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cuánto tiempo puede estar alguien detenido sin que lo presenten ante un juez?","/preguntas-frecuentes","asistencia-detenidos","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué es el hábeas corpus?","/preguntas-frecuentes","asistencia-detenidos","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Pueden esposarme durante el juicio?","/preguntas-frecuentes","asistencia-detenidos","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cómo solicito la asistencia de un abogado de oficio?","/preguntas-frecuentes","asistencia-detenidos","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cuánto dura un proceso penal en Honduras?","/preguntas-frecuentes","proceso-penal","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cuáles son las etapas del proceso penal?","/preguntas-frecuentes","proceso-penal","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué es la audiencia inicial?","/preguntas-frecuentes","proceso-penal","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué tipos de medidas cautelares existen?","/preguntas-frecuentes","proceso-penal","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Se puede evitar la prisión preventiva?","/preguntas-frecuentes","proceso-penal","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué es el sobreseimiento?","/preguntas-frecuentes","proceso-penal","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué recursos tengo contra una sentencia condenatoria?","/preguntas-frecuentes","proceso-penal","/derecho-penal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
