"slug","category","current_title","current_meta_title","current_description","current_meta_description","title_issue","description_issue","duplicate_group","search_intent","proposed_title","proposed_meta_title","proposed_description","proposed_meta_description","body_supports_change","legal_risk","action","status"
"abogado-aduanero-san-lorenzo","derecho-aduanero","Abogado Aduanero en San Lorenzo, Honduras: Guía","Abogado Aduanero San Lorenzo","Abogado aduanero en San Lorenzo especializado en importaciones, exportaciones, clasificación arancelaria, despacho aduanero y defensa ante el SAR. Presencia en","Asesoría legal aduanera en San Lorenzo, Honduras. Evite multas y retenciones en importaciones/exportaciones. Contáctenos para su consulta.","","","","sin conflicto demostrado","Abogado Aduanero en San Lorenzo, Honduras: Guía","Abogado Aduanero San Lorenzo","Abogado aduanero en San Lorenzo especializado en importaciones, exportaciones, clasificación arancelaria, despacho aduanero y defensa ante el SAR. Presencia en","Asesoría legal aduanera en San Lorenzo, Honduras. Evite multas y retenciones en importaciones/exportaciones. Contáctenos para su consulta.","true","LOW","KEEP","KEEP"
"abogado-civil-choluteca","derecho-civil","Abogado Civil en Choluteca","Abogado Civil en Choluteca: Herencias","Abogado civil en Choluteca para contratos, compraventa de inmuebles, testamentos, herencias, cobro de deudas y usucapión. Presencia en juzgados civiles de la","Bufete de abogados civiles en Choluteca. Expertos en usucapión, compraventa de inmuebles, redacción de contratos, testamentos y demandas civiles en la","","","","sin conflicto demostrado","Abogado Civil en Choluteca","Abogado Civil en Choluteca: Herencias","Abogado civil en Choluteca para contratos, compraventa de inmuebles, testamentos, herencias, cobro de deudas y usucapión. Presencia en juzgados civiles de la","Bufete de abogados civiles en Choluteca. Expertos en usucapión, compraventa de inmuebles, redacción de contratos, testamentos y demandas civiles en la","true","LOW","KEEP","KEEP"
"abogado-empresas-san-lorenzo","derecho-mercantil","Abogado Empresarial en San Lorenzo","Abogado Empresarial San Lorenzo","Abogado empresarial en San Lorenzo para constitución de sociedades, contratos mercantiles, cumplimiento laboral y tributario. Asesoría a importadores y","Asesoría legal para empresas en San Lorenzo, Honduras. Constitución de sociedades, contratos, cumplimiento tributario y laboral. ¡Contáctenos!","","","","sin conflicto demostrado","Abogado Empresarial en San Lorenzo","Abogado Empresarial San Lorenzo","Abogado empresarial en San Lorenzo para constitución de sociedades, contratos mercantiles, cumplimiento laboral y tributario. Asesoría a importadores y","Asesoría legal para empresas en San Lorenzo, Honduras. Constitución de sociedades, contratos, cumplimiento tributario y laboral. ¡Contáctenos!","true","LOW","KEEP","KEEP"
"abogado-familia-choluteca","derecho-de-familia","Abogado de Familia en Choluteca","Abogado de Familia Choluteca: Divorcio y","Abogado de familia en Choluteca para divorcio, pensión alimenticia, custodia de menores, adopción y violencia doméstica. Atención personalizada en el Juzgado","Asesoría legal experta en Derecho de Familia en Choluteca, Honduras. Divorcios, pensiones alimenticias y custodia. ¡Contáctenos hoy!","","","","sin conflicto demostrado","Abogado de Familia en Choluteca","Abogado de Familia Choluteca: Divorcio y","Abogado de familia en Choluteca para divorcio, pensión alimenticia, custodia de menores, adopción y violencia doméstica. Atención personalizada en el Juzgado","Asesoría legal experta en Derecho de Familia en Choluteca, Honduras. Divorcios, pensiones alimenticias y custodia. ¡Contáctenos hoy!","true","LOW","KEEP","KEEP"
"abogado-laboral-choluteca","derecho-laboral","Abogado Laboral en Choluteca, Honduras: Despidos","Abogado Laboral Choluteca: Despidos y","Abogado laboral en Choluteca especializado en despidos injustificados, liquidaciones, reclamos salariales y accidentes laborales. Plazo de 2 meses para","Despedido en Choluteca? Reclame su liquidación en 2 meses. Abogado laboral experto en despidos injustificados y prestaciones. ¡Contáctenos!","","","","sin conflicto demostrado","Abogado Laboral en Choluteca, Honduras: Despidos","Abogado Laboral Choluteca: Despidos y","Abogado laboral en Choluteca especializado en despidos injustificados, liquidaciones, reclamos salariales y accidentes laborales. Plazo de 2 meses para","Despedido en Choluteca? Reclame su liquidación en 2 meses. Abogado laboral experto en despidos injustificados y prestaciones. ¡Contáctenos!","true","LOW","KEEP","KEEP"
"abogado-penalista-sur-honduras","derecho-penal","Abogado Penalista en el Sur de Honduras","Abogado Penalista Sur Honduras","Nacaome, Choluteca, Valle: la cercanía al tribunal es una ventaja procesal real. Conocimiento de jueces, inmediatez en las primeras 48 horas y criterios para","Descubra por qué un abogado penalista local en el sur de Honduras (Nacaome, Choluteca) es clave para su defensa. Conozca las ventajas de la cercanía y el","","","","sin conflicto demostrado","Abogado Penalista en el Sur de Honduras","Abogado Penalista Sur Honduras","Nacaome, Choluteca, Valle: la cercanía al tribunal es una ventaja procesal real. Conocimiento de jueces, inmediatez en las primeras 48 horas y criterios para","Descubra por qué un abogado penalista local en el sur de Honduras (Nacaome, Choluteca) es clave para su defensa. Conozca las ventajas de la cercanía y el","true","LOW","KEEP","KEEP"
"abogados-en-nacaome","practica-legal","Cómo Elegir Abogado en Nacaome: 10 Criterios antes de Contratar","Cómo Elegir Abogado en Nacaome: 10 Criterios antes de Contratar","Criterios prácticos para elegir abogado en Nacaome: especialidad, honorarios, comunicación y experiencia antes de contratar servicios jurídicos en Valle.","Criterios prácticos para elegir abogado en Nacaome: especialidad, honorarios, comunicación y experiencia antes de contratar servicios jurídicos en Valle.","","","","sin conflicto demostrado","Cómo Elegir Abogado en Nacaome: 10 Criterios antes de Contratar","Cómo Elegir Abogado en Nacaome: 10 Criterios antes de Contratar","Criterios prácticos para elegir abogado en Nacaome: especialidad, honorarios, comunicación y experiencia antes de contratar servicios jurídicos en Valle.","Criterios prácticos para elegir abogado en Nacaome: especialidad, honorarios, comunicación y experiencia antes de contratar servicios jurídicos en Valle.","true","LOW","KEEP","KEEP"
"accidente-transito-choluteca","derecho-civil","Accidente de Tránsito en Choluteca","Accidentes de Tránsito en Choluteca","Accidente de tránsito en Choluteca: reclamación de indemnización por lesiones, daños materiales y lucro cesante. Plazos, documentos y abogados civiles en zona","Guía completa sobre cómo reclamar indemnización por accidentes de tránsito en Choluteca, Honduras. Conozca el marco legal, pasos y derechos.","","","","sin conflicto demostrado","Accidente de Tránsito en Choluteca","Accidentes de Tránsito en Choluteca","Accidente de tránsito en Choluteca: reclamación de indemnización por lesiones, daños materiales y lucro cesante. Plazos, documentos y abogados civiles en zona","Guía completa sobre cómo reclamar indemnización por accidentes de tránsito en Choluteca, Honduras. Conozca el marco legal, pasos y derechos.","true","LOW","KEEP","KEEP"
"acoso-laboral-mobbing-honduras","derecho-laboral","Acoso Laboral en Honduras: Cómo Identificarlo y Denunciarlo Legalmente","Acoso Laboral en Honduras: Leyes","Guía sobre acoso laboral en Honduras: qué conductas constituyen mobbing, cómo probarlo, vías de denuncia (Secretaría de Trabajo, vía civil, vía penal) y cómo","Conozca cómo identificar y denunciar el acoso laboral en Honduras. Explicación del despido indirecto (Art. 114) y el acoso vertical (Art. 294 CP).","","","","sin conflicto demostrado","Acoso Laboral en Honduras: Cómo Identificarlo y Denunciarlo Legalmente","Acoso Laboral en Honduras: Leyes","Guía sobre acoso laboral en Honduras: qué conductas constituyen mobbing, cómo probarlo, vías de denuncia (Secretaría de Trabajo, vía civil, vía penal) y cómo","Conozca cómo identificar y denunciar el acoso laboral en Honduras. Explicación del despido indirecto (Art. 114) y el acoso vertical (Art. 294 CP).","true","LOW","KEEP","KEEP"
"adopcion-requisitos-proceso-honduras","derecho-de-familia","Adopción en Honduras: Requisitos y Proceso","Adopción en Honduras: Requisitos y Proceso Legal","Quiénes califican para adoptar, diferencia de edad requerida, estudio psicosocial, declaración de idoneidad, período de convivencia y sentencia. Proceso que","Descubra los requisitos, etapas y base legal para la adopción en Honduras. Asesoría legal especializada para proteger el interés superior del menor.","","","","sin conflicto demostrado","Adopción en Honduras: Requisitos y Proceso","Adopción en Honduras: Requisitos y Proceso Legal","Quiénes califican para adoptar, diferencia de edad requerida, estudio psicosocial, declaración de idoneidad, período de convivencia y sentencia. Proceso que","Descubra los requisitos, etapas y base legal para la adopción en Honduras. Asesoría legal especializada para proteger el interés superior del menor.","true","LOW","KEEP","KEEP"
