route,route_type,template_or_component,primary_source,dynamic_source,strategic_priority,audit_depth,seo_freeze_tag,blog_shared_component_risk,status,notes
/,strategic-main,app/(public)/page.tsx,page.tsx + page_content DB,DYNAMIC_SOURCE_REQUIRES_CONFIRMATION,P0,FULL_CODE_AND_PUBLISHED,WAIT_UNTIL_2026-09-01,MEDIUM,AUDITED,Hero propio; BlogHighlights permitido solo como bloque de portada.
/abogado-civil-nacaome,local-specialized,route page + shared legal blocks,código/data local,STATIC,P1,TEMPLATE_AND_ROUTE_SAMPLE,WAIT_UNTIL_2026-09-01,MEDIUM,AUDITED,Evitar canibalización con hub/servicio/local genérica.
/abogado-de-familia-nacaome,local-specialized,route page + shared legal blocks,código/data local,STATIC,P1,TEMPLATE_AND_ROUTE_SAMPLE,WAIT_UNTIL_2026-09-01,MEDIUM,AUDITED,Evitar canibalización con hub/servicio/local genérica.
/abogado-laboralista-nacaome,local-specialized,route page + shared legal blocks,código/data local,STATIC,P1,TEMPLATE_AND_ROUTE_SAMPLE,WAIT_UNTIL_2026-09-01,MEDIUM,AUDITED,Evitar canibalización con hub/servicio/local genérica.
/abogado-penalista-choluteca,local-specialized,route page + shared legal blocks,código/data local,STATIC,P1,TEMPLATE_AND_ROUTE_SAMPLE,WAIT_UNTIL_2026-09-01,MEDIUM,AUDITED,Evitar canibalización con hub/servicio/local genérica.
/abogado-penalista-nacaome,local-specialized,route page + shared legal blocks,código/data local,STATIC,P1,TEMPLATE_AND_ROUTE_SAMPLE,WAIT_UNTIL_2026-09-01,MEDIUM,AUDITED,Evitar canibalización con hub/servicio/local genérica.
/abogados-en-alianza,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
/abogados-en-amapala,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
/abogados-en-caridad,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
/abogados-en-choluteca,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
