route_or_pattern,applies_to_routes,position,visible_name,component,objective,audience,cta,visual_style,background,card_pattern,density,repetition_scope,adds_new_information,recommended_action,canonical_owner,seo_freeze_tag,notes
/,1,1,Hero,Home custom hero,Propuesta de valor y conversión,todas,Consulta + llamada,navy/photo/grid,primary,hero-panel,HIGH,sitewide claims,YES,simplificar,/,WAIT_UNTIL_2026-09-01,La caja lateral repite TrustBar.
/,1,2,TrustBar,TrustBar,Señales de confianza,todas,none,strip,surface,trust-item,MEDIUM,sitewide,PARTIAL,resumir,shared,WAIT_UNTIL_2026-09-01,No repetir cuatro claims en hero y cierre.
/,1,3,Orientación + especialidades,ProblemSelector + ServiceCard,Orientar y mostrar 4 áreas,no técnica,links,grid/cards,muted,problem+service,HIGH,services hub,YES,fusionar,/servicios-juridicos,WAIT_UNTIL_2026-09-01,Un solo bloque de decisión.
/,1,4,Por qué elegirnos,EditorialBlock,Razones para confiar,todas,/despacho,editorial,warm,feature-list,MEDIUM,despacho,PARTIAL,resumir,/despacho,WAIT_UNTIL_2026-09-01,Máximo 3 razones en home.
/,1,5,Equipo,inline Link cards,Presentar responsables,todas,perfiles,text cards,default,team-home,MEDIUM,despacho/team,PARTIAL,reutilizar,/despacho,WAIT_UNTIL_2026-09-01,Usar TeamCard compacta canónica.
/,1,6,Cómo trabajamos,ProcessStepper,Explicar método,todas,none,stepper,default,process,MEDIUM,despacho/services,PARTIAL,resumir,/despacho,WAIT_UNTIL_2026-09-01,Home 3 pasos; método completo en despacho.
/,1,7,Guías destacadas,BlogHighlights,Apoyo informativo,investigación,blog,list,muted,blog-list,MEDIUM,service hubs,YES,mantener,contextual,WAIT_UNTIL_2026-09-01,Único alcance permitido del blog.
/,1,8,CTA final,ConsultationCTA closing,Conversión final,alta intención,consulta+llamada,premium card,muted,cta-card,MEDIUM,sitewide,NO,estandarizar,/solicitar-consulta,WAIT_UNTIL_2026-09-01,Texto de alcance demasiado largo.
/despacho,1,1,PageHero,PageHero,Identidad institucional,todas,CTAGroup,navy/photo,primary,none,MEDIUM,internal heroes,YES,mantener,/despacho,WAIT_UNTIL_2026-09-01,
/despacho,1,2,TrustBar,TrustBar,Confianza,todas,none,strip,surface,trust-item,MEDIUM,sitewide,PARTIAL,resumir,shared,WAIT_UNTIL_2026-09-01,
/despacho,1,3,Quiénes somos,AnswerBlock,Respuesta institucional,todas,none,editorial,warm,none,LOW,home,YES,mantener,/despacho,WAIT_UNTIL_2026-09-01,
/despacho,1,4,Stats + estado,StatsCounter + LiveOfficeStatus,Prueba y disponibilidad,todas,contact,widgets,muted,stat cards,MEDIUM,hero/trust,PARTIAL,investigar,/despacho,WAIT_UNTIL_2026-09-01,
/despacho,1,5,Misión/visión/compromisos,EditorialBlock + Cards,Historia y valores,evaluación,none,editorial/cards,default,feature/info,HIGH,home/TrustLimits,YES,fusionar,/despacho,WAIT_UNTIL_2026-09-01,
