priority,title,intent,suggested_url,destination_spoke,cta,why_it_captures,cannibalization_guard
1,Qué hacer las primeras horas si detienen a un familiar en Nacaome,urgencia penal local,blog/derecho-penal/detencion-familiar-nacaome-primeras-horas,/derecho-penal,WhatsApp Danilo,Captura pánico familiar en Valle sin crear otra URL de cargo,No targetea "abogado penalista Nacaome"; empuja al hub y al cargo existente
2,Audiencia inicial en los Juzgados de Letras de Valle,intención procesal local,blog/proceso-penal/audiencia-inicial-juzgados-valle,/derecho-penal,WhatsApp Danilo,Explica un acto concreto del juzgado de Nacaome; no replica el hub,Ángulo = juzgado de Valle; el hub sigue siendo la página de dinero
3,Pensión alimenticia en Nacaome: documentos y evaluación,familia discreta,blog/derecho-de-familia/pension-alimenticia-nacaome-documentos,/servicios-juridicos/derecho-de-familia,WhatsApp Thania,Intención comercial de familia sin segunda landing de cargo,No usa "abogado de familia Nacaome" como title; enlaza al spoke y al cargo
4,Custodia y visitas ante el juzgado de familia de Valle,familia local,blog/derecho-de-familia/custodia-visitas-juzgado-valle,/servicios-juridicos/derecho-de-familia,WhatsApp Thania,Query de trámite + juzgado; no clona el hub de familia,Habla del juzgado/documentos; el spoke explica el servicio
5,Despido en el sur de Valle: planilla contrato y carta,laboral sur,blog/derecho-laboral/despido-valle-documentos-evaluacion,/servicios-juridicos/derecho-laboral,WhatsApp Emil,Convierte despidos de Nacaome/San Lorenzo sin nuevo cargo laboral-ciudad,No crea /abogado-laboralista-san-lorenzo; enlaza al spoke laboral
6,Prestaciones de trabajadores del puerto de San Lorenzo,laboral-mercantil puerto,blog/derecho-laboral/prestaciones-puerto-san-lorenzo,/servicios-juridicos/derecho-laboral,WhatsApp Emil,Ángulo económico real ya soportado (puerto); no inventa sucursal,Ciudad = contexto; la URL de dinero sigue siendo el spoke laboral
7,Detención o audiencia en Choluteca: se atiende desde Nacaome,penal Choluteca logístico,blog/derecho-penal/defensa-penal-choluteca-desde-nacaome,/derecho-penal,WhatsApp Danilo,Aclara sede única y juzgados de Choluteca; refuerza el cargo existente,No crea tercer cargo penal; canibalización controlada hacia hub + cargo Choluteca
8,Trámite aduanero en Guasaule: cuándo interviene un abogado,aduanero frontera,blog/derecho-aduanero/tramite-aduanero-guasaule-abogado,/servicios-juridicos/derecho-aduanero-y-comercio-exterior,Evaluación inicial confidencial,Ángulo fronterizo real de Choluteca sin nueva ciudad,No targetea "abogados en Choluteca"; empuja al spoke aduanero
9,Contrato o compraventa en Nacaome: qué revisar antes de firmar,civil sede,blog/derecho-civil/contrato-compraventa-nacaome-revision,/servicios-juridicos/derecho-civil-y-notarial,WhatsApp Thania,Intención civil de sede; no clona el cargo civil,Title de trámite no de cargo; enlace al spoke civil
10,Cómo preparar la visita a la oficina en Nacaome,logística sede,blog/practica-legal/preparar-visita-oficina-nacaome,/abogados-en-nacaome,Cómo llegar + evaluación,Cualifica visitas a sede; no abre ciudad nueva,Apoya la landing indexable de Nacaome; noindex cities fuera
