id,impact,type,effort,action,finding,scope,governance_tag,recommended_decision
R-001,CRITICAL,contenido|consistencia|conversión,XS,estandarizar,Claims “sin costo/sin compromiso” vs política canónica,shared/local/consult/published cache,REQUIRES_LEGAL_REVIEW|REQUIRES_CONTENT_DB_CHANGE,Confirmar política comercial y preparar parche único; no desplegar en esta misión.
R-002,CRITICAL,arquitectura|UX|conversión,M,fusionar,Reducir sistemas CTA de 13 a 5 semánticos,sitewide,WAIT_UNTIL_2026-09-01,"CTA primario, secundario, urgencia, final y contextual."
R-003,CRITICAL,UI|responsive|accesibilidad,M,rediseñar,Eliminar duplicación semántica desktop/mobile de tablas,/derecho-penal y cualquier matriz responsive,WAIT_UNTIL_2026-09-01,Una sola fuente DOM con layout responsive.
R-004,HIGH,arquitectura|contenido,M,fusionar,Unificar método general vs etapas jurídicas,home/despacho/penal/services,WAIT_UNTIL_2026-09-01,Despacho dueño de método; áreas dueñas de etapas.
R-005,HIGH,UI|consistencia,M,estandarizar,5 familias hero → 5 variantes explícitas de un sistema,sitewide,WAIT_UNTIL_2026-09-01,home/hub/service/profile/local.
R-006,HIGH,UI|consistencia,M,estandarizar,6 representaciones de abogados → 4 canónicas,home/despacho/penal/services/profiles/consult,WAIT_UNTIL_2026-09-01,"compacta, completa, header, referencia textual."
R-007,HIGH,UX|densidad,L,resumir,Derecho Penal: reducir bloques consecutivos y dobles procesos,/derecho-penal,WAIT_UNTIL_2026-09-01,Máximo 10 secciones principales; agrupar preparación/errores/factores.
R-008,HIGH,UX|densidad,M,resumir,Hondureños en España: fusionar aviso y alcance,/hondurenos-en-espana,WAIT_UNTIL_2026-09-01,Una sección de alcance con notice no-error.
R-009,HIGH,conversión|UX,S,eliminar,Eliminar TrustBar posterior al formulario,/solicitar-consulta,WAIT_UNTIL_2026-09-01,La confianza debe estar antes o junto al formulario.
R-010,HIGH,arquitectura|contenido,M,trasladar,Mover equipo/metodología extensos desde home,/ → /despacho,WAIT_UNTIL_2026-09-01,Home conserva resumen y enlace.
R-011,HIGH,arquitectura|contenido,M,resumir,Home: 4 áreas + 3 razones + 3 pasos,/,WAIT_UNTIL_2026-09-01,Evitar anticipar Despacho y Servicios.
R-012,HIGH,contenido|FAQ,M,estandarizar,FAQ general solo corporativa; áreas solo específicas,FAQ/hubs/services/locals,WAIT_UNTIL_2026-09-01,Aplicar propietario canónico.
R-013,HIGH,deuda técnica|riesgo blog,S,reutilizar,Custom blog cards → BlogHighlights/BlogCard,penal/services/local non-blog blocks,SAFE_BEFORE_MEASUREMENT,Validar que cambio no afecte plantillas internas del blog.
R-014,HIGH,SEO protegido|consistencia,S,investigar,Resolver deriva rama vs web rastreada,services/FAQ/home,SAFE_BEFORE_MEASUREMENT,"Comprobar deployment SHA, cache y contenido DB sin escribir."
R-015,MEDIUM,UI|consistencia,S,reutilizar,Local hero → PageHero local,16 local,WAIT_UNTIL_2026-09-01,Conservar NAP y H1 exactos.
R-016,MEDIUM,UI|consistencia,S,reutilizar,Service detail hero → PageHero service,13 services,WAIT_UNTIL_2026-09-01,No cambiar H1/metadatos/orden semántico antes de medida.
R-017,MEDIUM,UI|consistencia,S,estandarizar,Iconos inline → IconBadge,sitewide,WAIT_UNTIL_2026-09-01,Regla 44px; 36px solo compact.
R-018,MEDIUM,UX|conversión,S,resumir,Consult rail 3 grupos → 2 + urgencia,/solicitar-consulta,WAIT_UNTIL_2026-09-01,Contacto/privacidad juntos; motivos como select del form o texto breve.
R-019,MEDIUM,arquitectura,S,trasladar,Ubicación completa → /como-llegar,consult/footer/local Nacaome,WAIT_UNTIL_2026-09-01,NAP corto en otras rutas.
R-020,MEDIUM,deuda técnica,XS,eliminar,Revalidar y retirar coverage-city dead code,components/marketing,SAFE_BEFORE_MEASUREMENT,Confirmar imports/tests/analytics antes de borrar.
R-021,MEDIUM,UI|consistencia,XS,estandarizar,"Radios, focus y durations a tokens",globals/components,SAFE_BEFORE_MEASUREMENT,Parte ya tokenizada; auditar restos.
R-022,MEDIUM,contenido|conversión,S,resumir,CTA final a 40–70 palabras,sitewide,WAIT_UNTIL_2026-09-01,Evitar listar 10 ciudades en cada cierre.
R-023,MEDIUM,arquitectura|SEO,M,investigar,Canibalización local genérica vs especializada,5 specialty + 16 local + hubs,REQUIRES_SEO_REVIEW,No tocar intención/H1/canonical antes del 01-09.
R-024,LOW,UI,XS,mantener,Paleta navy/dorado y tipografías,sitewide,SAFE_BEFORE_MEASUREMENT,Identidad fuerte; no rediseñar desde cero.
R-025,LOW,UI|legal,XS,mantener,LegalDocument unificado,6 legal pages,REQUIRES_LEGAL_REVIEW,Solo chrome visual.
