step,scope,initial_head,final_head,technical_status,remote_checks,preview_validated,production_writes,body_changes,open_items,evidence,final_status
PASO 1,enlaces del blog,e2a916c0 (aprox),5218755a,CERRADO,CI+Lighthouse+Vercel verde,true,0,0,ninguno,seo:blog-links-audit PASS; blog-route-contract body_changes=0,CERRADO
PASO 2,privacidad de formularios,e2a916c0 (aprox),5218755a,CERRADO,CI verde,true,0,0,Turnstile/persistencia/email=PENDIENTE_MANUAL,security:public-form-logs PASS (79 tests); safe-public-form-logger,CERRADO_AUTOMATIZADO
PASO 3,sanitización HTML,e2a916c0 (aprox),5218755a,CERRADO,CI verde,true,0,0,ninguno,security:blog-html PASS; blog-html-sanitizer.test; SOURCE_BLOG_TAGS/RENDERED_BLOG_TAGS,CERRADO
PASO 4,metadata y CTA,e2a916c0 (aprox),5218755a,CERRADO,CI verde,true,0,0,ninguno,seo:blog-metadata-only PASS; legal:generated-cta-copy PASS (18 tests),CERRADO
PASO 5,redirects y rutas,e2a916c0 (aprox),5218755a,CERRADO,CI verde,true,0,0,ninguno,seo:blog-route-contract PASS; redirects 308 validados,CERRADO
PASO 6,FAQ,e2a916c0 (aprox),5218755a,CERRADO,CI verde,true,0,0,ninguno,seo:faq-contract PASS (79 source_rows); faq-public-contract.test,CERRADO
PASO 7,paginación,e2a916c0 (aprox),5218755a,CERRADO,CI verde,true,0,0,ninguno,seo:blog-pagination-contract PASS,CERRADO
PASO 8,robots y sitemaps,e2a916c0 (aprox),5218755a,CERRADO,CI verde,true,0,0,ninguno,seo:crawl-contract PASS; robots/sitemap validados,CERRADO
PASO 9,perfiles y autoridad,e2a916c0 (aprox),5218755a,CERRADO,CI verde,true,0,0,migración manual-0059 (no aplicada en prod),seo:lawyer-profile-contract PASS; revision institucional,CERRADO
PASO 10,claims y schema,e2a916c0 (aprox),5218755a,CERRADO,CI verde,true,0,0,ninguno,seo:public-claims-contract PASS; BlogPosting/Organization/LegalService coherentes,CERRADO
PASO 11,rendimiento del blog,e2a916c0 (aprox),5218755a,CERRADO,Lighthouse verde,true,0,0,ninguno,seo:blog-performance-contract PASS; listados sin bodies; una sola lectura de detalle,CERRADO
PASO 12,accesibilidad,e2a916c0,593a42f6,CERRADO,CI+Lighthouse verde,true,0,0,ninguno,a11y:public-contract PASS (67 tests E2E); axe_critical=0 axe_serious=0; head_sha=593a42f6,CERRADO
BLOQUE B,sustitución de tablas,b88e3c5e,b829fe07 (C1),CERRADO,CI verde,true,0,0,ninguno,seo:blog-table-cards-contract PASS (estática + E2E 72 casos + consolidate); tables_found=6 tables_transformed=6 untransformable=0 represented=source=93 final_table_tags=0; 49 tests transformer + 72 E2E; equivalencia exacta multiset; expected desde AST; console/hydration/print real; spans rechazados (published_with_span=0); consolidator estricto,CERRADO
PASO 13,cierre tecnico final,5218755a,ccd15777 (C2),CERRADO,CI+Lighthouse+Vercel verde,true (propietario, 2026-07-30),0,0,Turnstile/persistencia/email=PENDIENTE_MANUAL; GitGuardian 35247669=PENDIENTE_CIERRE_FALSO_POSITIVO; REMOTE_TABLE_GATE=BLOCKED_BY_MISSING_STAGING_SECRETS; merge=NO_AUTORIZADO; Production=NO_AUTORIZADO,bateria §18 completa PASS; knip exceeded=[] files=58; gate tablas local con E2E real 72/72; equivalencia exacta; preview validado por propietario; evidencia SHA=C1,CERRADO
